ts,rot,invx,invy,panx,pany,ks_h,ks_v,pin_x,pin_y,lead,opix,opix_exp,eol,starved,result,tl_x,tl_y,tr_x,tr_y,br_x,br_y,bl_x,bl_y
1782670135,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,-100,-100,-100,100,-100,-100,-100
1782670136,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,-100,-100,-100,100,-100,-100,-100
1782670138,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,-100,-100,-100,100,-100,-100,-100
1782670147,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,100,-100,-100,-100,100,-100,-100,-100
1782670147,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,100,-100,-100,-100,100,-100,-100,-100
1782670148,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,100,-100,-100,-100,100,-100,-100,-100
1782670149,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,100,-100,-100,-100,100,-100,-100,-100
1782670151,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,100,-100,-100,-100,100,-100,-100,-100
1782670152,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,100,-100,-100,-100,100,-100,-100,-100
1782670161,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100
1782670162,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100
1782670163,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100
1782670164,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,100,-100,-100,100,-100,-100,-100
1782670165,0,4096,4096,0,0,0,0,0,0,16384,455251,2073600,237,63887,short,-100,100,-100,-100,100,-100,-100,-100
1782670166,0,4096,4096,0,0,0,0,0,0,24576,455023,2073600,237,63200,short,-100,100,-100,-100,100,-100,-100,-100
1782670175,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11538,FULL,100,100,-100,-100,100,-100,-100,-100
1782670176,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11474,FULL,100,100,-100,-100,100,-100,-100,-100
1782670177,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11487,FULL,100,100,-100,-100,100,-100,-100,-100
1782670178,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11475,FULL,100,100,-100,-100,100,-100,-100,-100
1782670179,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11466,FULL,100,100,-100,-100,100,-100,-100,-100
1782670180,0,4096,4096,0,0,0,0,0,0,24576,488520,2073600,254,29021,short,100,100,-100,-100,100,-100,-100,-100
1782670189,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,-100,-100,100,-100,100,-100,-100,-100
1782670190,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,-100,-100,100,-100,100,-100,-100,-100
1782670191,0,4096,4096,0,0,0,0,0,0,8192,2073600,2073600,1080,11127,FULL,-100,-100,100,-100,100,-100,-100,-100
1782670192,0,4096,4096,0,0,0,0,0,0,12288,2073600,2073600,1080,11127,FULL,-100,-100,100,-100,100,-100,-100,-100
1782670193,0,4096,4096,0,0,0,0,0,0,16384,2073600,2073600,1080,11127,FULL,-100,-100,100,-100,100,-100,-100,-100
1782670195,0,4096,4096,0,0,0,0,0,0,24576,2073600,2073600,1080,11127,FULL,-100,-100,100,-100,100,-100,-100,-100
1782670203,0,4096,4096,0,0,0,0,0,0,4096,2073600,2073600,1080,11127,FULL,100,-100,100,-100,100,-100,-100,-100
1782670204,0,4096,4096,0,0,0,0,0,0,6144,2073600,2073600,1080,11127,FULL,100,-100,100,-100,100,-100,-100,-100
